	query	docno	relevance
1470	辽宁号与美国航母对比	26322	3
1471	国际航班 行李物品液体要求	7157	4
1472	5月北京周边旅游 价格	23338	1
1473	港版iphone6 内地运营商	10721	3
1474	清华大学 陈明游泳馆 价格	8184	3
1475	iphone6 香港售价	23159	3
1476	清华大学游泳馆 价格	18683	3
1477	死飞自行车使用方法	14133	3
1478	清华大学游泳馆 地点	21145	2
1479	去美国 不能托运	25584	2
1480	死飞自行车 清华大学附近 购买	15372	2
1481	北京周边五月一周度假旅行	10281	2
1482	北京旅行5月香山	2784	1
1483	死飞自行车购买注意事项	2504	2
1484	清华大学附近哪里卖死飞	25604	2
1485	买死飞 注意事项	6626	2
1486	 新人培训 破冰游戏 10人	20517	3
1487	清华大学 哪里卖死飞	25629	1
1488	破冰游戏十人	2364	3
1489	google眼镜 百度百科	22962	3
1490	北京周边7日游 报价	12610	2
1491	北京周边度假旅行	520	3
1492	国际航班手提行李 液体	14537	3
1493	北京周边的度假胜地	9027	4
1494	北京周边 度假旅行 	7850	2
1495	北戴河旅游	19541	4
1496	死飞自行车使用方法	14130	2
1497	清华大学游泳馆 时间	16780	3
1498	国内iphone6价格	13227	3
1499	死飞自行车 清华大学附近 购买	15371	2
1500	北京度假旅行  一周旅行团	18376	2
1501	港版 大陆iphone6	20363	2
1502	辽宁号 优	3368	3
1503	买死飞 注意事项	6629	2
1504	5月北京周边旅游目的地	20759	3
1505	破冰游戏 新员工培训 十人	16149	3
1506	北京周边5月 度假 攻略	6910	1
1507	哪些物品只能托运	8818	2
1508	北京及周边休闲7日游线路	12680	3
1509	死飞自行车 清华大学附近 购买渠道	15318	2
1510	清华陈明游泳馆 开放时间	7498	3
1511	谷歌眼镜 功能能	14827	2
1512	清华大学露天泳池 学生价格	25277	2
1513	留美 行李限制	9624	1
1514	关于合作的10人左右破冰游戏	24070	4
1515	死飞 清华附近	8089	3
1516	破冰游戏 新员工培训	14182	2
1517	北京周边旅游地点 7日游	19468	2
1518	香港 超过多少钱需要交关税	25427	1
1519	死飞自行车 购买注意事项	23881	2
1520	香港 iphone6  价格  	18225	4
1521	辽宁号  战略目标	17459	3
1522	清华大学附近 购买自行车	10838	2
1523	怀柔度假村 3日游 花费	6964	2
1524	国际航班行李限制	13592	2
1525	清华大学游泳馆开放时间	7474	2
1526	航空母舰 战略作用	11682	3
1527	清华大学游泳馆具体位置	24859	3
1528	航母的战略作用	4703	3
1529	iphone6 香港售价 关税	23181	2
1530	辽宁号 战略价值	10638	3
1531	清华 游泳卡	7773	2
1532	哪些物品 手提行李	16212	3
1533	辽宁号 战略作用	8344	3
1534	北京度假旅行 周边游	17232	2
1535	香港 超过多少钱需要交关税	25428	1
1536	清华 附近  死飞实体店	10061	1
1537	清华大学游泳馆开放时间段	25296	2
1538	购买港版iphone6	19880	2
1539	死飞自行车 清华附近 购买地点	22762	2
1540	清华大学附近 购买自行车	10841	2
1541	辽宁号 优劣势	12780	2
1542	清华大学	23927	3
1543	怀柔度假村 3日游 花费	6963	2
1544	 清华大学  购买死飞	17827	1
1545	北京五月份一周度假旅行	2236	1
1546	清华大学游泳馆具体位置	24860	2
1547	北京五月一周度假旅行	2205	1
1548	国际航班中有关行李的规定	23697	3
1549	死飞价格区间	25810	2
1550	清华大学 自行车市场	10888	3
1551	破冰游戏  员工培训 10人	25089	3
1552	死飞 注意事项	3210	4
1553	北京旅游花费	9047	2
1554	手提行李液体 	2688	3
1555	员工破冰游戏	10258	3
1556	清华大学陈明游泳馆	1925	4
1557	死飞公园 价格	25833	2
1558	清华大学陈明游泳馆 价格	10402	3
1559	清华大学陈明游泳馆学生卡	2041	2
1560	国际航班手提行李可携带液体	13653	4
1561	死飞自行车  清华大学  注意事项	17772	1
1562	航母历史	14897	4
1563	北京周边旅游7天	19440	3
1564	清华大学游泳馆信息	21874	2
1565	北京旅游 7天	19518	2
1566	清华大学 自行车市场	10887	3
1567	港版iphone6 国行 价格	16730	3
1568	死飞自行车购买渠道 北京	16290	3
1569	国际航班手提行李可携带液体数	13636	4
1570	航母能发挥的战略作用	24430	3
1571	谷歌眼镜 百科	22903	2
1572	内地iphone6价格	21440	2
1573	北京出发五月一周度假旅行	10317	2
1574	辽宁号  历史	17482	3
1575	辽宁号与其他国家航母的对比	22458	4
1576	辽宁号相对于其他国家的优点	9433	2
1577	航母 战略意义	14924	3
1578	破冰游戏作用	14256	3
1579	港版iphone6支持内地运营商网络吗	21491	4
1580	清华大学 买自行车	12025	3
1581	内地iphone6售价	24633	3
1582	破冰游戏 员工培训 10人左右	14199	2
1583	 清华大学  死飞专卖店	17881	2
1584	辽宁号 排水量	16462	2
1585	iphone6大陆售价	22335	4
1586	北京度假旅行景点	13830	1
1587	手提行李限制 国际航班	2631	2
1588	手提行李限制 国际航班 液体	19265	3
1589	港版iphone6 购买	16198	3
1590	留美 行李中什么必须托运	9730	2
1591	10人 破冰游戏	11556	3
1592	手提行李液体 国际航班	2659	2
1593	港版iphone6 在哪买	6169	3
1594	死飞自行车 北京 购买渠道	22693	2
1595	国际航班 行李物品要求	7134	4
1596	死飞自行车清华大学	10936	2
1597	北京周围 度假旅行 7日	15201	2
1598	清华大学游泳馆学生票	3480	1
1599	死飞自行车 清华大学	5575	2
1600	北京周边旅游景点 7日游	12572	3
1601	国际航班 液体托运	7192	4
1602	港版iphone6支持内地运营商网络吗	21492	4
1603	北京旅游 7天	19519	3
1604	清华大学游泳馆学生票价	23108	2
1605	死飞公园 价格	25831	2
1606	清华大学陈明游泳馆学生卡	2039	2
1607	清华大学附近哪里卖自行车	12052	3
1608	北京5月 周边旅游 攻略	6815	2
1609	购买港版iphone6是否缴纳关税	24668	2
1610	死飞自行车购买	19763	2
1611	携港版iphone6回内地需要交关税吗	24044	3
1612	清华 死飞 推荐	6537	3
1613	死飞公园 清华 价格	17300	2
1614	北京5月 度假 攻略	6846	4
1615	国际航班 手提 托运 体积 重量 限制	20587	4
1616	清华大学游泳馆 地图	15267	2
1617	手提行李限制 液体	8500	4
1618	北京周边度假旅行 7天	12474	2
1619	辽宁号战略作用	13048	4
1620	港版iphone6价格	10681	3
1621	破冰游戏 互相介绍  公司	17145	1
1622	北京周边 旅游	7932	2
1623	谷歌眼镜 使用港式	12385	2
1624	戒烟本身的副作用	12284	2
1625	死飞自行车  清华大学	17725	2
1626	死飞自行车购买	19764	3
1627	港版iphone6 大陆iphone6	8367	2
1628	北京度假旅行  旅行团	18441	3
1629	北京周边五日以上度假旅行	2299	2
1630	辽宁号 与其他航母的优劣比较	23648	3
1631	iphone6港版售价	22357	3
1632	破冰游戏 企业培训	17175	2
1633	北京旅游 7天	19520	1
1634	死飞自行车 清华周边	19203	2
1635	清华大学游泳馆信息	21876	3
1636	国际航班 手提 不能托运	7316	2
1637	北京周边游	2334	2
1638	国际航班 液体托运	7190	3
1639	5月北京周边	20686	3
1640	google眼镜 维基百科	22943	1
1641	天龙潭村旅游报价	24944	2
1642	辽宁号和别国航母相比 优势和劣势	22167	2
1643	iphone6国行 价格	16741	4
1644	死飞自行车 清华附近 注意事项	22740	1
1645	戒烟的副作用	4389	2
1646	死飞公园 买死飞注意事项	25700	2
1647	清华附近 死飞 注意事项	21094	1
1648	辽宁号战略作用	13047	3
1649	港版iphone6 z	10700	3
1650	清华大学露天游泳馆	25247	2
1651	港版iphone6  价格	8378	2
1652	清华大学 自行车	10810	2
1653	破冰游戏 10人	8214	3
1654	香港购买iphone6 关税	1146	2
1655	清华 游泳 票价	7749	2
1656	大陆iphone6	3255	3
1657	破冰游戏作用	14252	3
1658	手提行李 液体	8732	3
1659	港版iphone6  国内运营商网络支持	23232	4
1660	美国 不能托运的	25539	3
1661	清华附近 死飞 购买	21062	2
1662	国际航班 手提液体	23461	3
1663	清华 死飞专卖	11645	2
1664	死飞自行车 清华大学 攻略	10957	1
1665	辽宁号 比较	9546	4
1666	航母战略作用	24835	1
1667	辽宁号基本信息百科	13760	2
1668	辽宁号 优势劣势	19402	2
1669	北京旅游住宿花费 昌平	9107	3
1670	买死飞要注意什么	22138	2
1671	清华大学游泳馆 学生票价格	18609	2
1672	百度旅游	21963	2
1673	戒烟的好处	22472	3
1674	菜户营桥西公交站 地图	8060	4
1675	陈明游泳馆 时间	16806	3
1676	谷歌眼镜 售价	1530	2
1677	清华大学游泳馆 学生	3499	2
1678	北京旅行5月	2759	2
1679	iphone6 港版价格	12075	3
1680	清华 陈明游泳馆 价格	7545	2
1681	港版iphone6 运营商	6186	3
1682	清华大学游泳馆学生价	13512	1
1683	托运行李 电脑	17037	1
1684	北京周边 旅游	7933	1
1685	旅行路线	10371	3
1686	清华附近死飞	21206	2
1687	辽宁号战略意义	20002	2
1688	淘宝	11616	4
1689	google眼镜 维基百科	22946	1
1690	天龙潭村	24912	3
1691	清华西门死飞	21275	2
1692	google眼镜 使用方式	22979	2
1693	港版iphone6 z	10699	3
1694	死飞 清华大学	8013	1
1695	怀柔度假村 3日游 价格	6933	1
1696	港版 iphone6关税 	20394	3
1697	5月香山	2818	2
1698	龙庆峡住宿	24513	4
1699	美国 托运行李规定	25480	4
1700	国际航班 禁止托运	7221	3
1701	避暑山庄旅游 7天	19597	2
1702	死飞  注意事项	22851	4
1703	死飞自行车 报价	16359	4
1704	旅行路线	10372	1
1705	旅行	10346	2
1706	清华大学附近 死飞自行车	9942	1
1707	国际航班手提行李限制	14512	3
1708	破冰游戏 十人	23622	3
1709	5月北京周边游	25990	2
1710	辽宁号 尺寸	16484	2
1711	飞机 托运行李限制	23369	4
1712	国际航班 美国 行李限制	24275	3
1713	iphone6 大陆 港版  价格	3297	3
1714	北京周边7日游 报价	12606	2
1715	怀柔度假村 3日游 价格	6930	3
1716	清华附近买自行车	2522	3
1717	辽宁号的基本信息	21367	1
1718	死飞自行车销售地址	9228	3
1719	美国 手提行李限制	8449	2
1720	香港 iphone6   关税	18250	2
1721	死飞自行车 购买 注意事项	15455	2
1722	清华大学 十渡	26105	2
1723	5月 北京周边旅游 	20813	3
1724	北京周边旅游 多日游	18768	2
1725	辽宁号与其他航母相比 优势和劣势	20883	2
1726	港版iphone6  国内网络支持	23215	4
1727	清华西门 死飞公园	25681	2
1728	谷歌眼镜功能 使用方式	24225	3
1729	港版iphone6支持国内网络运营商	13297	1
1730	手提行李中不能携带的物品	8784	2
1731	菜户营桥西公交站	8033	4
1732	死飞	22116	4
1733	清华大学陈明游泳馆价格	1951	2
1734	谷歌眼镜 维基百科	22924	1
1735	破冰游戏 	25032	2
1736	清华大学 死飞	7956	1
1737	那些行李必须手提	24691	2
1738	清华大学 十渡	26102	2
1739	国际航班中手提行李中可以有多少液体	8698	3
1740	清华大学附近购买死飞自行车	10764	2
1741	清华大学附近 死飞自行车	9944	2
1742	死飞大概的价格	21344	3
1743	清华大学附近的自行车专卖店	9265	4
1744	香港购买iphone6带回要交关税？	13269	2
1745	国内 iphone6  价格  	18206	3
1746	死飞自行车 北京	24090	3
1747	国际航班 行李物品液体要求	7155	3
1748	5月北京周边 7天	20735	1
1749	清华大学游泳馆 游泳卡	18629	2
1750	辽宁号的基本信息	21364	2
1751	北京周边 度假旅行	15093	2
1752	清华大学游泳馆  开放时间	18029	3
1753	中国运营商支持港版iphone6	2448	4
1754	死飞自行车注意事项	22375	3
1755	死飞 海淀	3151	3
1756	港版国行iphone6 价格对比	6242	2
1757	国际航班中哪些行李必须托运	23727	3
1758	清华陈明游泳馆 价格	7520	2
1759	死飞 清华大学 购买	11952	2
1760	辽宁号 优势和劣势	22174	1
1761	国际航班手提行李能带多少液体	21564	2
1762	怀柔旅游	22425	4
1763	怀柔	22393	2
1764	清华 游泳 票价	7750	1
1765	5月北京周边旅游 价格	23339	1
1766	港版iphone6 内地运营商	10720	2
1767	国行iphone6  价格	8408	2
1768	国际航班行李	21510	4
1769	iphone6 香港售价	23160	4
1770	辽宁号的优点	9448	1
1771	北京周边 度假旅行 	7852	1
1772	死飞自行车使用方法	14132	2
1773	清华大学游泳馆 地点	21146	3
1774	谷歌眼镜功能	10976	3
1775	十渡住宿	24477	3
1776	死飞自行车 购买 注意事项	15456	2
1777	死飞自行车 清华大学附近 购买	15373	2
1778	死飞自行车购买注意事项	2505	1
1779	北京周边  7天旅游	12512	1
1780	清华大学 哪里卖死飞	25628	2
1781	哪些物品只能托运	8820	2
1782	破冰游戏 自我介绍	11146	3
1783	国际航班手提行李 液体	14538	3
1784	大兴野生动物园	26279	3
1785	死飞 清华	3119	1
1786	航母能发挥的战略作用	24428	3
1787	北京周边 度假旅行 	7851	2
1788	北戴河旅游	19538	3
1789	国内iphone6价格	13226	3
1790	谷歌眼镜使用方式	9138	2
1791	苹果官网	25394	2
1792	北京周边旅游地点 7日游	19466	2
1793	港版 大陆iphone6	20362	2
1794	托运行李限制 国际航班	19335	4
1795	辽宁号 其他国家航母 比较	9582	3
1796	清华大学游泳馆学生票价	23110	2
1797	北京周边5月 度假 攻略	6911	3
1798	哪些物品只能托运	8819	3
1799	美国 托运行李限制	8473	4
1800	港版iphone6和内地差价	24017	2
1801	谷歌眼镜 功能能	14828	3
1802	清华大学露天泳池 学生价格	25276	2
1803	北京度假旅行景点推荐	13862	3
1804	死飞 清华附近	8086	2
1805	北京周边旅游地点 7日游	19469	1
1806	谷歌眼镜 使用说明	11666	4
1807	死飞自行车 清华	3095	2
1808	死飞自行车 清华附近 购买地点	22764	2
1809	清华大学附近 购买自行车	10839	2
1810	航空母舰 战略作用	11681	4
1811	死飞自行车 清华附近 购买	22625	2
1812	清华大学游泳馆具体位置	24858	3
1813	清华大学	23926	4
1814	清华大学游泳馆 游泳卡办理	19970	4
1815	死飞 注意事项	3211	3
1816	清华 游泳卡	7772	2
1817	清华大学游泳馆 开放时间	5267	3
1818	北京度假旅行 周边游	17233	3
1819	5月香山	2815	1
1820	内地iphone6	24608	3
1821	故宫周边旅店	13893	1
1822	清华 附近  死飞实体店	10060	1
1823	清华大学附近死飞自行车购买	19672	1
1824	清华大学游泳馆开放时间段	25297	2
1825	港版iphone6 大陆运营商	22028	3
1826	辽宁号 战略作用	8345	2
1827	清华大学游泳馆 所在地	12405	2
1828	死飞自行车 清华附近 购买地点	22763	1
1829	辽宁号 优劣势	12781	2
1830	清华大学	23924	3
1831	清华大学 自行车市场	10889	3
1832	美国 托运行李限制	8471	3
1833	美国 不能带上飞机的行李	25509	3
1834	北京五月一周度假旅行	2204	1
1835	留美 行李中什么必须托运	9731	2
1836	清华大学死飞自行车	631	2
1837	国际航班 手提行李 液体	12817	3
1838	新手十人破冰游戏	13713	2
1839	辽宁号相对于其他国家的优点	9434	2
1840	谷歌眼镜使用方法	20316	2
1841	青龙峡 红螺寺	26256	3
1842	北京旅行5月香山	2783	2
1843	清华大学附近 死飞 购买	21003	1
1844	死飞公园 价格	25834	2
1845	故宫周边旅店	13890	4
1846	清华大学陈明游泳馆学生卡	2040	2
1847	港版iphone6 购买	16200	3
1848	死飞公园 清华附近	8107	2
1849	国际航班手提行李可携带液体	13652	3
1850	死飞自行车  清华大学  注意事项	17771	1
1851	航母历史	14896	3
1852	哪些物品必须托运	16239	2
1853	北京5月 周边旅游推荐	6746	2
1854	死飞自行车购买渠道 北京	16291	1
1855	国际航班手提行李可携带液体数	13637	2
1856	港版iphone6能否支持国内的通信	19927	4
1857	有效戒烟	16682	3
1858	清华 死飞 注意事项	6589	3
1859	谷歌眼镜 百科	22902	2
1860	清华大学游泳馆学生票	3478	2
1861	内地iphone6价格	21441	3
1862	北京出发五月一周度假旅行	10318	2
1863	死飞 五道口	7989	2
1864	港版iphone6支持内地运营商网络吗	21490	3
1865	港版iphone6 需不需要关税	19896	2
1866	内地iphone6售价	24634	3
1867	北京旅游住宿花费	9078	3
1868	 清华大学  死飞专卖店	17880	3
1869	清华大学游泳馆学生票价	23107	3
1870	清华附近购买死飞自行车  价格区间	22812	2
1871	清华买死飞	6460	1
1872	北京及周边休闲7日游 价格	12711	2
1873	港版 大陆iphone6 价格	20382	2
1874	手提行李限制 国际航班 液体	19264	3
1875	北京旅行	2724	3
1876	10人 破冰游戏	11557	3
1877	手提行李液体 国际航班	2660	2
1878	清华大学 购买死飞自行车	19695	1
1879	iphone6港版售价	22360	2
1880	死飞自行车 北京 购买渠道	22692	3
1881	国际航班 行李物品要求	7133	4
1882	死飞自行车清华大学	10937	2
1883	北京周围 度假旅行 7日	15200	2
1884	死飞自行车 清华大学	5574	2
1885	北京周边旅游景点 7日游	12575	1
1886	死飞 购买注意	11982	2
1887	托运行李 	17636	3
1888	iphone6	346	3
1889	必须手提的行李	24300	4
1890	死飞自行车购买清华大学附近	19740	2
1891	购买港版iphone6是否缴纳关税	24671	2
1892	死飞自行车购买	19762	3
1893	港版iphone6过关	22006	2
1894	死飞公园 清华 价格	17301	3
1895	北京度假旅行  旅行团	18439	2
1896	北京周边度假旅行 7天	12473	2
1897	辽宁号 与其他国家航母比较	9563	2
1898	破冰游戏 十个人	8980	3
1899	破冰游戏 互相介绍  公司	17142	3
1900	清华 陈明游泳馆 票价	7576	2
1901	5月北京周边旅游	11410	3
1902	香港购买iphone6	1127	3
1903	托运行李 电脑 美国	17078	2
1904	谷歌眼镜 使用港式	12384	2
1905	辽宁号航母的优势和劣势	24420	3
1906	死飞自行车购买清华大学附近	19739	2
1907	北京5月 度假 攻略	6849	1
1908	港版iphone6能否支持国内的移动通信	19912	3
1909	清华附近 死飞 购买	21063	2
1910	港版iphone6 大陆iphone6	8366	3
1911	死飞自行车  价格区间	22825	4
1912	北京度假旅行  旅行团	18440	2
1913	国际航班 托运行李限制	23398	4
1914	iphone6港版售价	22358	2
1915	破冰游戏 企业培训	17174	2
1916	清华大学游泳馆位置	9355	3
1917	港版iphone6需要关税吗	22319	2
1918	北京周边游	2333	2
1919	iphone6 香港 国内网络支持	23194	3
1920	港币汇率	14346	4
1921	戒烟副作用	2606	2
1922	清华大学游泳馆地址	10228	1
1923	清华大学 死飞自行车	10742	1
1924	google眼镜 维基百科	22942	4
1925	清华大学游泳馆 价格	18685	3
1926	辽宁号和别国航母相比 优势和劣势	22166	2
1927	死飞公园 买死飞注意事项	25701	2
1928	辽宁号 维基	12755	3
1929	破冰游戏  员工培训	25065	2
1930	百度旅游	21965	4
1931	清华大学 自行车	10811	3
1932	清华大学游泳馆位置	9356	2
1933	国际航班中乘客可以携带多少液体	23824	2
1934	清华大学附近购买死飞自行车的渠道	9177	2
1935	google眼镜 价格	23003	1
1936	清华大学游泳馆地址	10227	1
1937	手提行李 液体	8735	3
1938	港版iphone6  国内运营商网络支持	23233	4
1939	美国 不能托运的	25538	2
1940	国际航班手提行李不能带 	14633	2
1941	清华大学游泳馆 学生票	15301	3
1942	清华大学 死飞自行车市场	10918	2
1943	北京周边旅游	11471	3
1944	死飞自行车 北京  清华大学 购买渠道	22719	2
1945	死飞公园 清华附近	8114	2
1946	5月北京周边旅游	11420	2
1947	北京度假旅行  一周旅行团	18391	2
1948	买死飞要注意什么	22141	4
1949	谷歌眼镜	1494	1
1950	留美 行李限制	9633	3
1951	托运行李 国际航班 电脑	17118	3
1952	辽宁号 其他国家航母 比较	9578	4
1953	港版iphone6 在哪买	6167	4
1954	百度旅游	21962	3
1955	航母历史	14898	4
1956	故宫周边交通	13926	2
1957	港版iphone6 运营商	6185	4
1958	北京度假旅行	2175	3
1959	辽宁号  战略目标	17457	2
1960	内地iphone6售价	24631	3
1961	港版iphone6缴纳关税	24256	3
1962	怀柔度假村 3日游 花费	6970	3
1963	死飞自行车  清华西门	18009	3
1964	死飞公园 清华 价格	17302	3
1965	破冰游戏 自我介绍	11143	0
1966	北京周边游 	26225	3
1967	破冰游戏 员工培训	5525	4
1968	北京周边旅游推荐	18827	3
1969	死飞自行车  清华大学	17735	2
1970	谷歌眼镜 售价	1529	4
1971	死飞自行车 清华附近	2480	2
1972	5月北京周边旅游	11413	4
1973	北京旅游 7天	19516	4
1974	iphone6	348	4
1975	留美 行李限制	9637	1
1976	谷歌眼镜	1490	2
1977	清华大学游泳馆	1637	0
1978	死飞自行车价格	9964	3
1979	辽宁号优劣	24794	3
1980	留美 国际航班 手提行李限制	9596	3
1981	在香港购买iphone6价格	10111	3
1982	死飞自行车注意事项	22372	3
1983	清华大学游泳馆 开放时间	5270	0
1984	iphone6 大陆 港版	3274	3
1985	清华大学死飞自行车	628	3
1986	清华大学游泳馆学生票价	23109	3
1987	北京度假旅行 周边游	17234	2
1988	辽宁号	443	3
1989	清华 死飞 推荐	6533	3
1990	谷歌眼镜 使用港式	12383	3
1991	清华大学 哪里有卖 死飞	22065	3
1992	到美国的国际航班行李	21535	2
1993	港版iphone6	2438	2
1994	清华大学游泳馆 游泳卡	18634	3
1995	国际航班手提行李体积重量限制	4209	3
1996	在香港如何购买iphone6	3581	3
1997	港版iphone6 价格	16709	4
1998	国际航班手提行李能带多少液体	21565	4
1999	国际航班 行李要求	7087	3
2000	辽宁号 与其他航母的优劣比较	23652	3
2001	北京度假旅行	2168	1
2002	清华大学游泳馆学生价	13519	3
2003	谷歌眼镜的价格	4826	3
2004	国际航班 行李限制	12801	4
2005	清华大学附近哪里卖死飞	25603	3
2006	手提行李限制	107	2
2007	北京周边度假旅行 一周	12438	2
2008	旅行路线	10370	4
2009	谷歌眼镜 价格	11014	2
2010	清华大学 死飞自行车	10739	4
2011	清华大学游泳馆具体位置	24862	4
2012	死飞自行车	74	3
2013	辽宁号战略意义	20005	0
2014	谷歌眼镜 如何使用	25377	4
2015	港版iphone6能使用国内运营商网络吗	3663	4
2016	只允许托运 物品	6143	3
2017	国际航班手提行李能携带多少液体	4263	4
2018	破冰游戏 新员工培训 10人	12729	4
2019	戒烟副作用	2611	3
2020	国际航班中有关行李的规定	23699	4
2021	辽宁号基本信息百科	13758	4
2022	死飞自行车	80	3
2023	北京周边度假旅行 一周	12434	1
2024	清华大学游泳馆 开放时间	5266	2
2025	红螺寺 攻略	26178	3
2026	破冰游戏  员工培训 10人	25091	4
2027	清华大学游泳馆  开放时间	18027	3
2028	google眼镜 使用方式	22978	4
2029	谷歌眼镜	1487	3
2030	购买死飞  注意事项	16034	2
2031	清华大学游泳馆 开放时间	5279	3
2032	港版iphone6 入关	6198	3
2033	手提行李液体 	2690	3
2034	北京周边地方度假旅游	4593	3
2035	北京周边七日游	4682	2
2036	员工破冰游戏	10256	4
2037	死飞自行车购买 清华	19786	2
2038	陈明游泳馆 办卡	15840	2
2039	购买死飞自行车渠道 清华大学	3878	3
2040	大约十人的破冰游戏	21830	4
2041	北京周边旅游 价格	23311	4
2042	十渡攻略	26047	4
2043	菜户营桥西公交站 地图	8061	4
2044	清华大学陈明游泳馆 价格	10400	2
2045	破冰游戏 员工 十人	7431	4
2046	国行iphone6价格	3575	3
2047	港版iphone6	1111	3
2048	戒烟	203	4
2049	辽宁号 战略作用	8349	3
2050	北京周边五日以上度假旅行	2302	2
2051	5月北京附近旅游地	23987	2
2052	北京周边  7天旅游	12513	3
2053	避暑山庄旅游 7天	19596	3
2054	破冰游戏  十人	7454	3
2055	死飞自行车  购买注意事项	17956	2
2056	港版iphone6价格	10679	1
2057	辽宁号基本信息	1199	4
2058	谷歌眼镜 使用说明	11662	3
2059	辽宁号 优势和劣势	22176	2
2060	国际航班手提行李限制	14510	3
2061	辽宁号与美国航母对比	26326	3
2062	5月北京周边旅游 价格	23341	3
2063	北京周边游	2331	3
2064	清华大学游泳馆	1629	3
2065	清华大学游泳馆地址	10230	4
2066	飞机 托运行李限制	23368	4
2067	陈明游泳馆 时间	16805	3
2068	港版iphone6 关税	5883	3
2069	死飞自行车 注意事项	5622	3
2070	清华大学陈明游泳馆学生卡	2058	2
2071	死飞 清华	3120	2
2072	手提行李限制 国际航班	2645	3
2073	行李限制 中美航班	15714	1
2074	液体、气雾剂及凝胶在国际航班上的规定	8764	3
2075	iphone6价格	10088	4
2076	谷歌眼镜 功能	4915	3
2077	破冰游戏 员工培训	5517	3
2078	国内iphone6售价	9321	2
2079	谷歌眼镜价格	2585	4
2080	辽宁号	437	3
2081	北京旅游住宿花费	9075	3
2082	购买死飞自行车的注意事项 	3949	4
2083	谷歌眼镜使用方式	9137	4
2084	iphone6香港关税	15663	2
2085	北京周边旅游	11476	4
2086	辽宁号 优势劣势	19398	2
2087	十人 破冰游戏	15619	3
2088	瓦良格号	15549	3
2089	手提行李限制 液体	8509	3
2090	清华大学游泳馆 地址	15234	3
2091	清华附近自行车店	10011	3
2092	新员工培训时的破冰游戏	9000	1
2093	香港 iphone6  价格  	18222	4
2094	苹果官网	25391	4
2095	那些行李必须手提	24697	3
2096	辽宁号相比较其他国家航母的优势和劣势	4762	3
2097	航母战略作用	24832	4
2098	港版iphone6 在哪买	6168	4
2099	破冰游戏 新员工培训 10人	12736	2
2100	5月 北京周边旅游 	20814	3
2101	北京周边度假旅行	516	3
2102	北京周边旅游 多日游	18769	0
2103	故宫周边交通	13928	0
2104	破冰游戏十人	2363	4
2105	谷歌眼镜	1492	2
2106	戒烟好处	1902	3
2107	托运行李限制	2086	4
2108	辽宁号 优劣	3353	3
2109	港版iphone6能使用国内运营商网络吗	3662	3
2110	港版iphone6和内地差价	24016	2
2111	死飞自行车 清华大学	5573	3
2112	iphone6 香港售价 关税	23177	3
2113	死飞公园 清华	17266	4
2114	死飞 购买注意	11979	2
2115	航母 战略意义	14923	4
2116	清华大学游泳馆 学生票	15307	2
2117	清华大学陈明游泳馆学生价格	2003	1
2118	死飞 清华	3121	2
2119	辽宁号与其他国家航母对比	26341	4
2120	清华大学游泳馆	1640	2
2121	破冰游戏 员工培训 10人左右	14202	3
2122	死飞自行车价格	9961	3
2123	北京旅行5月	2755	3
2124	谷歌眼镜 价格	11018	3
2125	港版iphone6缴纳关税	24249	3
2126	辽宁号  	17507	3
2127	清华大学游泳馆 具体地址	25198	0
2128	北京度假旅行	2181	0
2129	清华买死飞	6456	0
2130	北京及周边休闲7日游 价格	12707	4
2131	清华大学附近哪里卖自行车	12050	3
2132	5月在北京度假旅行	11209	2
2133	北京5月 周边旅游 攻略	6813	3
2134	北京度假旅行  一周旅行团	18385	2
2135	携港版iphone6回内地需要交关税吗	24042	3
2136	在香港买手机带回大陆需要关税吗	11718	3
2137	死飞自行车 清华	3094	4
2138	死飞自行车  购买注意事项	17946	2
2139	北京度假旅行	2173	2
2140	港版iphone6 国行 价格	16726	2
2141	辽宁号的基本信息	21379	4
2142	辽宁号与其他航母比较	11704	3
2143	死飞大概的价格	21345	3
2144	香港购买iphone6带回要交关税？	13268	3
2145	如何购买港版iphone6	9344	4
2146	谷歌眼镜功能 使用方式	24221	4
2147	辽宁号 百科	22575	4
2148	去美国 不能托运	25581	3
2149	北京度假旅行  一周旅行团	18378	1
2150	国际航班手提行李 液体	14535	3
2151	北京周边度假旅行	517	3
2152	国际航班手提行李能携带多少液体	4258	3
2153	手提行李限制 国际航班	2634	3
2154	如何购买港版iphone6	9342	4
2155	谷歌眼镜 使用方式	8572	2
2156	香港 iphone6   关税	18248	2
2157	淘宝	11615	4
2158	手提行李 中国美国	15681	3
2159	清华大学游泳馆所在地	3716	2
2160	新员工培训时的破冰游戏	8999	4
2161	清华大学游泳馆	1635	2
2162	北京周边 旅游	7930	3
2163	国际航班 托运行李	10581	3
2164	清华 附近  死飞	10039	3
2165	辽宁号优劣势	1212	3
2166	谷歌眼镜	1495	4
2167	清华大学游泳馆 学生票价格	18605	3
2168	辽宁号	441	0
2169	港版iphone6 入关关税	6222	3
2170	港版iphone6  国内运营商网络支持	23231	4
2171	北京周边 旅行 五一	5405	3
2172	辽宁号航速	15531	3
2173	购买港版iphone6是否缴纳关税	24667	3
2174	北京度假旅行  一周旅行团	18398	2
2175	清华大学游泳馆 学生票价格	18610	3
2176	在香港购买iphone6需要缴纳关税吗	3632	3
